embedUrl,videoId,title,Q1_Cat_tag,Q1_Kathy_tag,Q1_Niu_tag,Q1_same,Q1_two_same,Q2_1_Cat_tag,Q2_1_Kathy_tag,Q2_1_Niu_tag,Q2_1_same,Q2_1_two_same,Q2_2_Cat_tag,Q2_2_Kathy_tag,Q2_2_Niu_tag,Q2_2_same,Q2_2_two_same,Q3_1_Cat_tag,Q3_1_Kathy_tag,Q3_1_Niu_tag,Q3_1_same,Q3_1_two_same,Q3_2_Cat_tag,Q3_2_Kathy_tag,Q3_2_Niu_tag,Q3_2_same,Q3_2_two_same
https://www.youtube.com/embed/N2w4spsYm_Q,:N2w4spsYm_Q,Oppo Reno 2 Vs Oneplus 7 Pro Camera Comparison | #TeamTrees,none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",embedded,embedded,hashtag,two same,CatandKathy : embedded,none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",donation,"donation,more_trees",none_apply,two same,CatandKathy : donation,celebrity_effect,celebrity_effect,none_apply,two same,CatandKathy : celebrity_effect
https://www.youtube.com/embed/eh3bxXHqF2U,:eh3bxXHqF2U,Making a Particle Detector (Cloud Chamber),none_apply,other_issues,none_apply,two same,CatandNiu : none_apply,hashtag,embedded,hashtag,two same,CatandNiu : hashtag,creation,creation,creation,all same,"CatandNiu : creation, CatandKathy : creation, KathyandNiu : creation",none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply"
https://www.youtube.com/embed/m7MOlhL6el4,:m7MOlhL6el4,#TeamTrees Custom Zombies LIVE! (ft. Zombie Vendetta),none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",embedded,embedded,embedded,all same,"CatandNiu : embedded, CatandKathy : embedded, KathyandNiu : embedded",gameplay,gameplay,gameplay,all same,"CatandNiu : gameplay, CatandKathy : gameplay, KathyandNiu : gameplay",donation,"donation,support_channel,more_trees",donation,two same,"CatandNiu : donation, CatandKathy : donation, KathyandNiu : donation","celebrity_effect,tree_benefits,community_effect","celebrity_effect,community_effect",celebrity_effect,two same,"CatandNiu : celebrity_effect, CatandKathy : celebrity_effect,community_effect, KathyandNiu : celebrity_effect"
https://www.youtube.com/embed/xygBlTIv9U0,:xygBlTIv9U0,help us plant 20 MILLION trees! (#TeamTrees),"other_issues,deforestation,climate_change",climate_change,"inaction,deforestation,climate_change",two same,"CatandNiu : deforestation,climate_change, CatandKathy : climate_change, KathyandNiu : climate_change",dedicated,dedicated,dedicated,all same,"CatandNiu : dedicated, CatandKathy : dedicated, KathyandNiu : dedicated","spread_the_word,environmental_discussion",environmental_discussion,environmental_discussion,two same,"CatandNiu : environmental_discussion, CatandKathy : environmental_discussion, KathyandNiu : environmental_discussion","donation,environment_actions","promote_campaign,donation","promote_campaign,donation",two same,"CatandNiu : donation, CatandKathy : donation, KathyandNiu : promote_campaign,donation","celebrity_effect,community_effect","celebrity_effect,community_effect","celebrity_effect,tree_benefits,community_effect",two same,"CatandNiu : celebrity_effect,community_effect, CatandKathy : celebrity_effect,community_effect, KathyandNiu : celebrity_effect,community_effect"
https://www.youtube.com/embed/exoFrIJwwV0,:exoFrIJwwV0,Updating Trees to be USEFUL in Minecraft! (#TeamTrees),none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",embedded,embedded,dedicated,two same,CatandKathy : embedded,gameplay,gameplay,gameplay,all same,"CatandNiu : gameplay, CatandKathy : gameplay, KathyandNiu : gameplay","donation,support_channel","donation,support_channel","donation,support_channel",all same,"CatandNiu : donation,support_channel, CatandKathy : donation,support_channel, KathyandNiu : donation,support_channel","celebrity_effect,community_effect","celebrity_effect,community_effect","celebrity_effect,community_effect",all same,"CatandNiu : celebrity_effect,community_effect, CatandKathy : celebrity_effect,community_effect, KathyandNiu : celebrity_effect,community_effect"
https://www.youtube.com/embed/l0YBsbXnoSo,:l0YBsbXnoSo,don't look at this video #TeamTrees,none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",dedicated,dedicated,dedicated,all same,"CatandNiu : dedicated, CatandKathy : dedicated, KathyandNiu : dedicated",spread_the_word,spread_the_word,spread_the_word,all same,"CatandNiu : spread_the_word, CatandKathy : spread_the_word, KathyandNiu : spread_the_word",none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",celebrity_effect,celebrity_effect,celebrity_effect,all same,"CatandNiu : celebrity_effect, CatandKathy : celebrity_effect, KathyandNiu : celebrity_effect"
https://www.youtube.com/embed/CNGrx3oDO5U,:CNGrx3oDO5U,Every DEATH I plant 5 trees #teamtrees,none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",embedded,embedded,dedicated,two same,CatandKathy : embedded,gameplay,gameplay,donation,two same,CatandKathy : gameplay,none_apply,support_channel,none_apply,two same,CatandNiu : none_apply,none_apply,none_apply,celebrity_effect,two same,CatandKathy : none_apply
https://www.youtube.com/embed/mwOOXLC23BE,:mwOOXLC23BE,Youtuberlar Dünya'yı Kurtarıyor!  #teamtrees,video_not_included,video_not_included,video_not_included,all same,"CatandNiu : video_not_included, CatandKathy : video_not_included, KathyandNiu : video_not_included",video_not_included,video_not_included,video_not_included,all same,"CatandNiu : video_not_included, CatandKathy : video_not_included, KathyandNiu : video_not_included",video_not_included,video_not_included,video_not_included,all same,"CatandNiu : video_not_included, CatandKathy : video_not_included, KathyandNiu : video_not_included",video_not_included,video_not_included,video_not_included,all same,"CatandNiu : video_not_included, CatandKathy : video_not_included, KathyandNiu : video_not_included",video_not_included,video_not_included,video_not_included,all same,"CatandNiu : video_not_included, CatandKathy : video_not_included, KathyandNiu : video_not_included"
https://www.youtube.com/embed/SWPqQxz-7gg,:SWPqQxz-7gg,How Do Trees Grow? - Kids STEM #TeamTrees,none_apply,none_apply,none_apply,all same,"CatandNiu : none_apply, CatandKathy : none_apply, KathyandNiu : none_apply",dedicated,dedicated,dedicated,all same,"CatandNiu : dedicated, CatandKathy : dedicated, KathyandNiu : dedicated",knowledge,environmental_discussion,knowledge,two same,CatandNiu : knowledge,"donation,more_trees","donation,more_trees,environment_actions","donation,more_trees",two same,"CatandNiu : donation,more_trees, CatandKathy : donation,more_trees, KathyandNiu : donation,more_trees",celebrity_effect,tree_benefits,community_effect,none same,
https://www.youtube.com/embed/4CLxWDF4hOI,:4CLxWDF4hOI,Playing 'Riddle School'! + #TeamTrees,deforestation,deforestation,"deforestation,climate_change",two same,"CatandNiu : deforestation, CatandKathy : deforestation, KathyandNiu : deforestation",embedded,embedded,embedded,all same,"CatandNiu : embedded, CatandKathy : embedded, KathyandNiu : embedded",gameplay,creation,gameplay,two same,CatandNiu : gameplay,donation,donation,donation,all same,"CatandNiu : donation, CatandKathy : donation, KathyandNiu : donation",celebrity_effect,celebrity_effect,celebrity_effect,all same,"CatandNiu : celebrity_effect, CatandKathy : celebrity_effect, KathyandNiu : celebrity_effect"
